mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_preprocess__text__ufs__percentile,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26.04868197,0.320915987,6.827118444,0.340266445,0.01,1,"{'clf__alpha': 0.01, 'preprocess__text__ufs__percentile': 1}",0.630312751,0.609120521,0.661893397,0.657686212,0.65664557,0.64313169,0.020334923,82
26.20569148,0.371439404,6.581104803,0.304543955,0.01,2,"{'clf__alpha': 0.01, 'preprocess__text__ufs__percentile': 2}",0.652173913,0.640563821,0.675904542,0.673312883,0.671698113,0.662730655,0.013919508,28
25.97337809,0.477074522,6.475672102,0.413417074,0.01,5,"{'clf__alpha': 0.01, 'preprocess__text__ufs__percentile': 5}",0.663345196,0.649635036,0.664290805,0.676427526,0.685472496,0.667834212,0.012238228,6
26.19668584,0.46297109,6.832667637,0.454077622,0.01,10,"{'clf__alpha': 0.01, 'preprocess__text__ufs__percentile': 10}",0.66026081,0.63216011,0.666209733,0.658385093,0.664879357,0.656379021,0.012446259,51
26.3443018,0.332829507,6.88861227,0.361593815,0.01,15,"{'clf__alpha': 0.01, 'preprocess__text__ufs__percentile': 15}",0.658536585,0.631864407,0.660377358,0.651761518,0.666666667,0.653841307,0.011971342,61
26.62778993,0.634101926,6.477282715,0.459119955,0.01,20,"{'clf__alpha': 0.01, 'preprocess__text__ufs__percentile': 20}",0.650340136,0.633199465,0.666666667,0.650439486,0.661774516,0.652484054,0.011559682,65
26.454286,0.477350498,6.493418837,0.606162309,0.01,50,"{'clf__alpha': 0.01, 'preprocess__text__ufs__percentile': 50}",0.628571429,0.631296172,0.65993266,0.622680412,0.631509558,0.634798046,0.012964829,91
25.97632437,0.272714617,6.673963642,0.344144413,0.03,1,"{'clf__alpha': 0.03, 'preprocess__text__ufs__percentile': 1}",0.629718876,0.609120521,0.662420382,0.658207772,0.656621729,0.643217856,0.020581298,80
26.08697605,0.566583869,6.625117683,0.41448205,0.03,2,"{'clf__alpha': 0.03, 'preprocess__text__ufs__percentile': 2}",0.653153153,0.641065831,0.67540478,0.674347158,0.67271353,0.66333689,0.013816584,26
26.36554594,0.522445243,6.39957819,0.309201944,0.03,5,"{'clf__alpha': 0.03, 'preprocess__text__ufs__percentile': 5}",0.662384011,0.647619048,0.665239115,0.677916361,0.685067233,0.667645154,0.012988765,9
27.023419,0.658482154,6.580600166,0.372941096,0.03,10,"{'clf__alpha': 0.03, 'preprocess__text__ufs__percentile': 10}",0.660247593,0.633773454,0.668044077,0.658823529,0.667562122,0.657690155,0.012525918,46
28.66393752,1.961250742,6.603202391,0.162992914,0.03,15,"{'clf__alpha': 0.03, 'preprocess__text__ufs__percentile': 15}",0.660774983,0.632722335,0.660834455,0.651257648,0.66934943,0.65498777,0.012518756,58
27.44865742,0.447753543,6.629653883,0.295502517,0.03,20,"{'clf__alpha': 0.03, 'preprocess__text__ufs__percentile': 20}",0.650750341,0.633982539,0.669365722,0.649595687,0.667110519,0.654160962,0.012950047,60
27.65728898,0.277314609,6.819832945,0.602291904,0.03,50,"{'clf__alpha': 0.03, 'preprocess__text__ufs__percentile': 50}",0.634017207,0.634243837,0.664890073,0.635006784,0.635294118,0.640690404,0.012108982,90
27.69092789,0.422325972,6.570443869,0.249992439,0.05,1,"{'clf__alpha': 0.05, 'preprocess__text__ufs__percentile': 1}",0.629718876,0.609616952,0.662948207,0.658187599,0.656621729,0.643418673,0.020513826,79
27.59444103,0.509329318,6.841506958,0.623549971,0.05,2,"{'clf__alpha': 0.05, 'preprocess__text__ufs__percentile': 2}",0.653643877,0.640502355,0.674382716,0.675384615,0.67322239,0.663427191,0.014001506,25
27.68478479,0.555427762,6.501877165,0.198304575,0.05,5,"{'clf__alpha': 0.05, 'preprocess__text__ufs__percentile': 5}",0.661901358,0.646108664,0.665712241,0.678912564,0.684173172,0.6673616,0.013418462,11
28.26234336,0.519247726,6.699303389,0.314251468,0.05,10,"{'clf__alpha': 0.05, 'preprocess__text__ufs__percentile': 10}",0.661145618,0.634588563,0.667127072,0.660194175,0.668909825,0.658393051,0.012364141,45
28.10055509,0.168308132,6.530807447,0.266717694,0.05,15,"{'clf__alpha': 0.05, 'preprocess__text__ufs__percentile': 15}",0.661664393,0.628922237,0.663962137,0.653033401,0.670690812,0.655654596,0.014510068,55
